unnamed:_0,make,make_year,color,body_type,mileage_run,no_of_owners,seating_capacity,fuel_type,transmission,transmission_type,price
1,Volkswagen,2017,silver,sedan,44611,1st,5,diesel,7-Speed,Automatic,7915
2,Hyundai,2016,red,crossover,20305,1st,5,petrol,5-Speed,Manual,8216
3,Honda,2019,white,suv,29540,2nd,5,petrol,5-Speed,Manual,9554
4,Renault,2017,bronze,hatchback,35680,1st,5,petrol,5-Speed,Manual,4987
5,Hyundai,2017,orange,hatchback,25126,1st,5,petrol,5-Speed,Manual,6204
6,Hyundai,2016,red,hatchback,52261,1st,5,petrol,5-Speed,Manual,7277
7,Honda,2012,grey,hatchback,28108,2nd,5,petrol,5-Speed,Manual,3807
8,Tata,2019,grey,suv,92603,1st,5,diesel,6-Speed,Automatic,15386
9,Hyundai,2021,blue,hatchback,16304,1st,5,petrol,5-Speed,Manual,8554
10,Renault,2019,bronze,hatchback,26350,2nd,5,petrol,5-Speed,Manual,4722
11,Renault,2020,yellow,muv,35400,1st,7,petrol,5-Speed,Manual,7385
12,Chevrolet,2013,white,sedan,71450,1st,5,diesel,6-Speed,Automatic,6484
13,Hyundai,2019,grey,suv,32395,1st,5,petrol,7-Speed,Automatic,11674
14,Tata,2021,grey,suv,15059,1st,7,diesel,6-Speed,Automatic,22771
15,Maruti Suzuki,2019,white,hatchback,31994,1st,5,petrol,5-Speed,Manual,7221
16,Toyota,2020,white,sedan,13768,1st,5,petrol,CVT,Automatic,13769
17,Tata,2022,beige,suv,3174,1st,5,petrol,5-Speed,Manual,9303
18,Renault,2017,orange,suv,70137,1st,5,diesel,6-Speed,Automatic,10361
19,Toyota,2018,white,sedan,35913,2nd,5,petrol,6-Speed,Automatic,9012
20,Hyundai,2018,blue,hatchback,19056,1st,5,petrol,5-Speed,Manual,7530
21,Volkswagen,2017,brown,sedan,32492,1st,5,petrol,5-Speed,Manual,6831
22,Maruti Suzuki,2014,yellow,hatchback,22598,1st,5,petrol,5-Speed,Manual,4022
23,Hyundai,2019,grey,suv,85981,1st,5,diesel,6-Speed,Automatic,12963
24,Toyota,2017,blue,hatchback,17791,1st,5,petrol,5-Speed,Manual,7779
25,Hyundai,2016,white,hatchback,26910,2nd,5,petrol,5-Speed,Manual,4771
26,Maruti Suzuki,2014,blue,sedan,28562,1st,5,petrol,5-Speed,Manual,6007
27,Hyundai,2019,white,sedan,40345,1st,5,petrol,6-Speed,Automatic,11855
28,Maruti Suzuki,2019,grey,hatchback,19550,1st,5,petrol,5-Speed,Manual,5497
29,Hyundai,2017,red,hatchback,54233,1st,5,petrol,5-Speed,Manual,7060
30,Maruti Suzuki,2017,blue,hatchback,33113,1st,5,petrol,5-Speed,Manual,6928
31,Maruti Suzuki,2011,red,hatchback,79565,1st,5,petrol,5-Speed,Manual,2569
32,Honda,2013,white,sedan,10651,1st,5,petrol,5-Speed,Manual,6457
33,Renault,2020,bronze,hatchback,27664,1st,5,petrol,5-Speed,Manual,5493
34,Hyundai,2021,red,hatchback,13389,1st,5,petrol,7-Speed,Automatic,13337
35,Hyundai,2016,grey,hatchback,30797,2nd,5,petrol,5-Speed,Manual,6879
36,Honda,2015,grey,muv,48947,1st,7,petrol,5-Speed,Manual,7072
37,Honda,2017,white,sedan,37315,1st,5,petrol,5-Speed,Manual,7578
38,Maruti Suzuki,2022,silver,hatchback,11047,1st,5,petrol,5-Speed,Manual,7785
39,Hyundai,2013,silver,hatchback,24858,1st,5,petrol,5-Speed,Manual,4771
40,Hyundai,2022,blue,suv,4839,1st,5,petrol,5-Speed,Manual,10566
41,Tata,2020,golden,hatchback,16329,1st,5,petrol,5-Speed,Manual,8392
42,Maruti Suzuki,2018,red,hatchback,57286,1st,5,petrol,5-Speed,Manual,6007
43,Tata,2022,white,suv,3679,1st,5,petrol,6-Speed,Automatic,8989
44,Hyundai,2014,white,hatchback,96077,1st,5,petrol,5-Speed,Manual,6385
45,Maruti Suzuki,2017,grey,hatchback,30406,1st,5,petrol,5-Speed,Manual,3979
46,Hyundai,2018,grey,hatchback,60873,1st,5,petrol,5-Speed,Manual,6626
47,Maruti Suzuki,2018,blue,hatchback,24811,1st,5,petrol,5-Speed,Manual,7156
48,Hyundai,2021,red,hatchback,56275,1st,5,petrol,7-Speed,Automatic,12024
49,Hyundai,2018,silver,sedan,78981,1st,5,diesel,6-Speed,Automatic,12192
50,Honda,2021,silver,sedan,7434,1st,5,petrol,7-Speed,Automatic,18518
51,Hyundai,2021,blue,hatchback,10730,1st,5,petrol,5-Speed,Manual,10939
